Adress,Educational Institute,Restaurants,Medical Service,Parks
"Block J, Eastern Housing, Pallabi, Mirpur, Dhaka",21,40,1,16
"Block J, Pallabi Extension, Pallabi, Mirpur, Dhaka",50,50,24,49
"Block J, Section 3, Mirpur, Dhaka",41,50,3,14
"Block J, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block K, Aftab Nagar, Dhaka",1,0,0,0
"Block K, Baridhara, Dhaka",32,50,7,22
"Block K, Bashundhara R-A, Dhaka",0,0,0,1
"Block K, Eastern Housing, Pallabi, Mirpur, Dhaka",50,50,24,49
"Block K, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block Ka, North Bishil, Section 1, Mirpur, Dhaka",26,27,3,13
"Block Ka, Section 6, Mirpur, Dhaka",50,50,15,21
"Block Kha, Section 6, Mirpur, Dhaka",50,50,15,21
"Block L, Bashundhara R-A, Dhaka",0,0,0,1
"Block L, Eastern Housing, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block L, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block M, Banasree, Dhaka",5,2,1,1
"Block M, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block N, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block TA, Section 12, Mirpur, Dhaka",50,50,17,14
"Block TA, Section 6, Mirpur, Dhaka",50,50,5,10
"Boatghat, Namapara, Khilkhet, Dhaka",1,6,0,4
"Bochila Garden City, Bochila, Mohammadpur, Dhaka",19,0,0,9
"Bochila, Mohammadpur, Dhaka",20,0,0,9
"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",28,18,33,35
"Boro Maghbazar, Maghbazar, Dhaka",50,50,19,50
"Borobag, Section 2, Mirpur, Dhaka",50,50,5,19
"Borobhanga, Sarulia, Demra, Dhaka",0,0,0,2
"Boroigram, West Bank Town, Bank Town, Savar, Dhaka",1,11,3,0
"Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",50,50,5,19
"Bosila, Mohammadpur, Dhaka",50,50,3,11
"Bot Tola, Khilkhet, Dhaka",2,7,0,5
"Bottola, Zirabo, Ashulia, Savar, Dhaka",2,2,0,1
"Bou Bazar, East Hazipara, East Rampura, Rampura, Dhaka",36,50,8,28
"Cantonment, Dhaka",17,18,1,22
"Chadd Uddan, Dhaka",50,31,35,21
"Chairman Para, Dakshin Khan, Dhaka",26,14,2,4
"Chalabon, Dakshin Khan, Dhaka",37,50,2,22
"Chalantika Housing, Hemayetpur, Savar, Dhaka",5,6,1,1
"Chanbari, Uttar Khan, Dhaka",5,0,1,2
"Chandmiya Housing, Mohammadpur, Dhaka",50,48,38,28
"Chandrima Model Town, Mohammadpur, Dhaka",50,48,38,28
"Chawk Bazar, Lalbagh, Dhaka",50,50,4,50
"Chayabithi Eastern Housing, Middle Bashabo, Bashabo, Dhaka",46,49,11,38
"Chayabithi, Badda, Savar, Dhaka",5,45,17,0
"Chowdhury Bazar, Lalbagh, Dhaka",50,50,1,50
"Comfort Housing, Adabor, Dhaka",35,48,24,30
"Dagormora, Savar, Dhaka",5,6,1,1
"Dakkhin Paikpara, Mirpur, Dhaka",21,12,28,22
"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",50,27,6,8
"Dakshin Khan, Dhaka",37,50,2,22
"Darussalam, Mirpur, Dhaka",50,50,5,19
"Demra, Dhaka",2,1,1,2
"Dendabor, Ashulia, Savar, Dhaka",2,2,0,1
Dhaka,,,,
"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",50,44,6,15
"Dhaka Uddan, Mohammadpur, Dhaka",44,1,13,1
"Dhalpur, Jatra Bari, Dhaka",50,50,5,39
"Dhanmondi, Dhaka",50,50,20,50
"Dhorangartek, Turag, Dhaka",5,4,1,2
"Dilkhushabag, Savar, Dhaka",5,6,1,1
"Dogair, Demra, Dhaka",2,1,1,2
"DOHS, Ashulia, Savar, Dhaka",2,2,0,1
"Dolairpar, Kadamtali, Shyampur, Dhaka",13,17,2,1
"Dolipara, Uttara, Dhaka",19,47,1,16
"Donia, Jatra Bari, Dhaka",50,50,5,39
"Doniya, Shyampur, Dhaka",24,47,2,6
"Duip R-A, Block A, Section 2, Mirpur, Dhaka",50,50,5,19
"Duip R-A, Block B, Section 2, Mirpur, Dhaka",50,50,5,19
